temperature,device-temperature
13.5,159.0
31.6,159.0
39.5,27.9
35.4,28.2
34.0,29.0
34.2,29.2
34.2,29.2
34.0,29.6
34.0,29.7
34.0,29.7
34.0,29.8
34.0,30.0
43.1,30.0
37.3,31.0
46.0,31.4
50.3,32.1
44.6,34.0
51.8,35.1
55.7,36.2
49.7,38.4
56.8,39.6
60.4,40.0
63.2,42.2
66.0,44.7
68.6,47.0
62.5,49.2
69.6,50.0
72.9,50.8
75.4,52.9
78.1,55.1
80.7,56.3
83.1,58.7
85.6,60.8
88.1,63.0
80.9,65.3
88.3,66.9
91.5,67.3
94.0,68.8
96.4,71.2
98.7,74.7
101.0,75.7
103.4,77.9
105.6,80.0
98.2,82.0
105.4,83.0
99.2,84.0
106.1,85.3
100.2,86.0
107.1,87.9
101.2,88.7
108.1,90.0
102.2,90.4
99.6,91.9
107.9,92.6
111.3,93.1
104.6,94.9
102.0,96.2
110.6,96.3
113.9,96.8
107.4,98.3
104.7,99.9
113.2,100.0
107.8,100.8
105.1,101.6
113.8,101.9
116.9,102.1
110.6,103.7
107.9,104.8
116.6,105.1
111.0,105.8
108.6,106.6
117.0,106.6
120.4,107.0
114.2,108.2
111.5,109.6
119.9,109.6
114.5,110.1
112.2,110.9
120.4,110.9
123.9,111.1
117.4,112.7
115.1,113.6
123.3,113.7
118.2,114.3
115.4,114.7
123.8,114.9
127.2,115.1
120.7,115.7
118.4,117.0
126.7,117.2
121.5,117.8
118.7,118.2
127.2,118.4
130.6,118.7
124.1,119.9
121.7,120.7
130.0,120.8
124.5,121.3
122.1,121.7
130.4,121.9
134.1,122.2
127.6,123.3
124.8,124.0
133.2,124.0
128.0,124.6
125.1,125.0
133.6,125.0
137.3,125.4
130.7,126.3
127.8,127.0
136.3,127.3
130.7,127.6
128.2,128.0
136.8,128.2
140.3,128.6
133.5,129.7
131.0,130.3
139.3,130.6
133.9,130.6
131.0,131.3
139.8,131.4
143.1,131.7
136.3,132.2
133.4,133.1
142.3,133.4
145.7,133.6
138.8,134.3
136.3,134.9
144.5,135.2
138.8,135.6
136.3,136.2
144.7,136.4
148.1,136.4
141.3,137.2
138.3,137.8
147.0,138.2
150.4,138.2
143.4,139.0
140.4,140.0
149.1,140.1
152.5,140.1
145.5,140.8
142.5,141.6
151.0,141.9
154.6,142.2
147.7,142.9
144.6,143.7
153.0,143.9
156.6,143.9
149.4,144.2
146.3,145.8
154.9,146.0
158.5,146.1
151.6,146.9
148.5,147.6
156.8,147.8
160.4,147.8
153.4,148.7
150.2,149.3
158.6,149.4
162.2,149.4
154.7,150.1
152.0,151.0
160.3,151.4
163.8,151.6
156.5,152.3
153.3,153.0
162.0,153.0
165.5,153.0
158.3,154.0
155.1,154.8
163.6,155.2
167.1,155.2
159.7,156.1
156.5,156.8
165.1,156.8
168.6,157.0
161.1,157.6
168.0,158.2
161.5,158.6
168.4,159.0
171.8,159.7
164.4,159.9
161.1,160.7
169.5,160.8
173.1,161.1
165.8,161.9
162.5,162.3
170.8,162.4
174.3,162.3
166.7,162.8
173.6,163.7
176.9,164.1
169.1,164.8
165.8,165.4
174.4,165.8
178.0,165.8
170.6,166.4
167.3,167.1
175.6,167.1
179.1,167.6
171.6,168.3
178.5,168.7
181.6,169.0
173.6,169.8
180.8,170.2
184.0,170.7
186.0,171.3
187.9,172.2
179.3,172.7
186.5,173.6
189.5,174.0
191.4,174.7
193.3,175.8
195.0,176.7
186.2,177.2
193.2,178.1
196.1,178.8
197.9,179.6
199.6,180.6
201.1,181.8
202.7,182.2
204.0,183.4
205.5,184.3
206.9,185.3
197.8,185.9
204.6,187.0
207.4,187.8
209.0,188.6
210.4,189.4
211.7,190.4
213.1,191.0
214.4,192.1
215.7,193.3
216.9,194.4
218.1,195.3
208.6,196.4
215.3,197.3
217.9,197.8
219.4,198.6
210.3,199.6
216.7,200.4
219.3,200.9
210.3,201.6
216.9,202.6
219.5,202.7
210.9,203.1
217.6,204.1
220.0,204.3
211.5,205.0
218.0,205.7
220.5,206.0
212.1,206.3
208.3,207.0
216.6,207.3
219.4,207.6
210.9,207.7
207.7,208.4
205.4,208.4
204.2,208.4
203.1,208.1
201.4,208.0
200.2,207.7
199.1,207.2
197.4,207.0
196.3,206.7
195.2,206.1
194.1,205.7
192.9,205.1
191.8,204.6
190.7,203.8
190.2,202.9
189.1,202.6
188.0,201.9
186.9,201.1
186.3,200.3
185.2,199.8
184.2,198.9
183.6,197.9
182.6,197.4
182.0,196.7
181.0,195.8
180.4,195.0
179.4,194.1
178.9,193.2
177.8,192.3
177.3,192.0
176.3,191.0
175.8,190.2
174.7,189.6
174.2,188.9
173.2,187.9
172.7,186.9
172.2,186.6
171.2,185.7
170.7,184.7
169.7,184.0
169.2,183.0
168.7,182.3
167.8,182.0
167.3,181.0
166.3,180.2
165.8,179.3
165.4,179.0
164.4,178.2
163.9,177.0
163.5,176.9
163.0,176.0
162.0,175.2
161.6,174.6
161.1,174.0
160.2,173.1
159.7,172.3
159.3,172.0
158.3,171.1
157.9,170.7
157.4,169.9
157.0,169.1
156.0,168.3
155.6,168.0
155.1,167.3
154.2,166.7
153.8,165.9
153.3,165.4
152.9,164.9
152.0,164.2
151.6,163.4
151.1,162.8
150.7,162.1
149.8,161.8
149.4,161.1
148.9,160.4
148.1,159.8
147.6,159.1
147.2,158.3
146.8,158.1
146.8,158.1
