now,stage,power,voltage,current,resistance,temperature,last-power,last-voltage,last-current,last-resistance,last-temperature
0.000,,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.000,0.0
0.000,warmUp,3.15,2.10,1.50,1.400,24.5,0.00,0.00,0.00,0.000,0.0
1.349,warmUp,33.15,6.59,5.03,1.310,8.0,0.00,0.00,0.00,0.000,0.0
2.701,warmUp,26.94,6.15,4.38,1.404,25.3,0.00,0.00,0.00,0.000,0.0
5.002,warmUp,28.73,6.37,4.51,1.412,26.8,0.00,0.00,0.00,0.000,0.0
7.502,warmUp,28.75,6.39,4.50,1.420,28.2,0.00,0.00,0.00,0.000,0.0
10.001,warmUp,28.74,6.40,4.49,1.425,29.2,0.00,0.00,0.00,0.000,0.0
12.502,warmUp,28.72,6.41,4.48,1.431,30.2,0.00,0.00,0.00,0.000,0.0
15.002,warmUp,28.74,6.43,4.47,1.438,31.6,0.00,0.00,0.00,0.000,0.0
17.502,warmUp,28.79,6.44,4.47,1.441,32.0,0.00,0.00,0.00,0.000,0.0
20.002,warmUp,28.77,6.45,4.46,1.446,33.0,0.00,0.00,0.00,0.000,0.0
22.502,warmUp,28.79,6.47,4.45,1.454,34.4,0.00,0.00,0.00,0.000,0.0
25.002,warmUp,28.84,6.48,4.45,1.456,34.8,0.00,0.00,0.00,0.000,0.0
27.502,warmUp,28.71,6.48,4.43,1.463,36.0,0.00,0.00,0.00,0.000,0.0
30.003,warmUp,28.79,6.50,4.43,1.467,36.9,0.00,0.00,0.00,0.000,0.0
32.501,warmUp,28.73,6.50,4.42,1.471,37.5,0.00,0.00,0.00,0.000,0.0
35.002,warmUp,28.82,6.52,4.42,1.475,38.3,0.00,0.00,0.00,0.000,0.0
37.501,warmUp,28.80,6.53,4.41,1.481,39.3,0.00,0.00,0.00,0.000,0.0
40.002,warmUp,28.89,6.55,4.41,1.485,40.2,0.00,0.00,0.00,0.000,0.0
42.502,warmUp,28.71,6.54,4.39,1.490,41.0,0.00,0.00,0.00,0.000,0.0
45.002,warmUp,28.73,6.56,4.38,1.498,42.4,0.00,0.00,0.00,0.000,0.0
47.502,warmUp,28.93,6.59,4.39,1.501,43.1,0.00,0.00,0.00,0.000,0.0
50.002,warmUp,28.86,6.59,4.38,1.505,43.7,0.00,0.00,0.00,0.000,0.0
52.502,warmUp,28.84,6.60,4.37,1.510,44.8,0.00,0.00,0.00,0.000,0.0
55.001,warmUp,28.78,6.60,4.36,1.514,45.4,0.00,0.00,0.00,0.000,0.0
57.502,warmUp,28.82,6.61,4.36,1.516,45.8,0.00,0.00,0.00,0.000,0.0
60.002,warmUp,28.80,6.62,4.35,1.522,46.9,0.00,0.00,0.00,0.000,0.0
62.501,warmUp,28.88,6.64,4.35,1.526,47.7,0.00,0.00,0.00,0.000,0.0
65.002,warmUp,28.82,6.64,4.34,1.530,48.4,0.00,0.00,0.00,0.000,0.0
