now,stage,power,voltage,current,resistance,temperature,last.power,last.voltage,last.current,last.resistance,last.temperature
0.000,,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.000,0.0
0.000,warmUp,3.60,2.40,1.50,1.600,24.5,0.00,0.00,0.00,0.000,0.0
1.349,warmUp,32.67,7.01,4.66,1.504,9.1,3.60,2.40,1.50,1.600,24.5
2.701,warmUp,27.26,6.60,4.13,1.598,24.2,32.67,7.01,4.66,1.504,9.1
5.002,warmUp,28.72,6.79,4.23,1.605,25.3,27.26,6.60,4.13,1.598,24.2
7.502,warmUp,28.70,6.80,4.22,1.611,26.3,28.72,6.79,4.23,1.605,25.3
10.002,warmUp,28.74,6.81,4.22,1.614,26.7,28.70,6.80,4.22,1.611,26.3
12.502,warmUp,28.82,6.83,4.22,1.618,27.5,28.74,6.81,4.22,1.614,26.7
15.002,warmUp,28.75,6.83,4.21,1.622,28.1,28.82,6.83,4.22,1.618,27.5
17.502,warmUp,28.69,6.83,4.20,1.626,28.7,28.75,6.83,4.21,1.622,28.1
20.002,warmUp,28.73,6.84,4.20,1.629,29.1,28.69,6.83,4.20,1.626,28.7
22.501,warmUp,28.77,6.85,4.20,1.631,29.5,28.73,6.84,4.20,1.629,29.1
25.001,warmUp,28.70,6.85,4.19,1.635,30.1,28.77,6.85,4.20,1.631,29.5
27.502,warmUp,28.79,6.87,4.19,1.640,30.9,28.70,6.85,4.19,1.635,30.1
30.002,warmUp,28.83,6.88,4.19,1.642,31.3,28.79,6.87,4.19,1.640,30.9
32.502,warmUp,28.69,6.88,4.17,1.650,32.5,28.83,6.88,4.19,1.642,31.3
35.002,warmUp,28.73,6.89,4.17,1.652,32.9,28.69,6.88,4.17,1.650,32.5
37.501,warmUp,28.81,6.91,4.17,1.657,33.7,28.73,6.89,4.17,1.652,32.9
40.001,warmUp,28.86,6.92,4.17,1.659,34.1,28.81,6.91,4.17,1.657,33.7
42.502,warmUp,28.79,6.92,4.16,1.663,34.7,28.86,6.92,4.17,1.659,34.1
