now,stage,power,voltage,current,resistance,temperature,last.power,last.voltage,last.current,last.resistance,last.temperature
0.000,,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.000,0.0
0.000,warmUp,3.45,2.30,1.50,1.533,26.0,0.00,0.00,0.00,0.000,0.0
1.350,warmUp,28.92,6.68,4.33,1.543,27.6,3.45,2.30,1.50,1.533,26.0
2.702,warmUp,28.75,6.67,4.31,1.548,28.4,28.92,6.68,4.33,1.543,27.6
5.002,warmUp,28.61,6.67,4.29,1.555,29.6,28.75,6.67,4.31,1.548,28.4
7.502,warmUp,28.81,6.70,4.30,1.558,30.2,28.61,6.67,4.29,1.555,29.6
10.001,warmUp,28.79,6.71,4.29,1.564,31.2,28.81,6.70,4.30,1.558,30.2
12.502,warmUp,28.72,6.71,4.28,1.568,31.8,28.79,6.71,4.29,1.564,31.2
15.001,warmUp,28.74,6.73,4.27,1.576,33.3,28.72,6.71,4.28,1.568,31.8
17.502,warmUp,28.89,6.75,4.28,1.577,33.4,28.74,6.73,4.27,1.576,33.3
20.002,warmUp,28.82,6.75,4.27,1.581,34.1,28.89,6.75,4.28,1.577,33.4
22.502,warmUp,28.75,6.75,4.26,1.585,34.7,28.82,6.75,4.27,1.581,34.1
25.002,warmUp,28.69,6.75,4.25,1.588,35.3,28.75,6.75,4.26,1.585,34.7
27.502,warmUp,28.73,6.76,4.25,1.591,35.7,28.69,6.75,4.25,1.588,35.3
30.002,warmUp,28.77,6.77,4.25,1.593,36.1,28.73,6.76,4.25,1.591,35.7
32.502,warmUp,28.68,6.78,4.23,1.603,37.8,28.77,6.77,4.25,1.593,36.1
35.002,warmUp,28.72,6.79,4.23,1.605,38.2,28.68,6.78,4.23,1.603,37.8
37.503,warmUp,28.76,6.80,4.23,1.608,38.6,28.72,6.79,4.23,1.605,38.2
40.001,warmUp,28.70,6.80,4.22,1.611,39.3,28.76,6.80,4.23,1.608,38.6
42.502,warmUp,28.74,6.81,4.22,1.614,39.7,28.70,6.80,4.22,1.611,39.3
45.001,warmUp,28.75,6.83,4.21,1.622,41.1,28.74,6.81,4.22,1.614,39.7
47.502,warmUp,28.75,6.83,4.21,1.622,41.1,28.75,6.83,4.21,1.622,41.1
50.001,warmUp,28.69,6.83,4.20,1.626,41.8,28.75,6.83,4.21,1.622,41.1
52.502,warmUp,28.73,6.84,4.20,1.629,42.2,28.69,6.83,4.20,1.626,41.8
55.002,warmUp,28.70,6.85,4.19,1.635,43.2,28.73,6.84,4.20,1.629,42.2
57.502,warmUp,28.79,6.87,4.19,1.640,44.1,28.70,6.85,4.19,1.635,43.2
60.001,warmUp,28.83,6.88,4.19,1.642,44.5,28.79,6.87,4.19,1.640,44.1
62.502,warmUp,28.76,6.88,4.18,1.646,45.1,28.83,6.88,4.19,1.642,44.5
65.001,warmUp,28.76,6.88,4.18,1.646,45.1,28.76,6.88,4.18,1.646,45.1
67.501,warmUp,28.69,6.88,4.17,1.650,45.8,28.76,6.88,4.18,1.646,45.1
70.002,warmUp,28.73,6.89,4.17,1.652,46.2,28.69,6.88,4.17,1.650,45.8
72.502,warmUp,28.81,6.91,4.17,1.657,47.0,28.73,6.89,4.17,1.652,46.2
75.002,warmUp,28.86,6.92,4.17,1.659,47.4,28.81,6.91,4.17,1.657,47.0
77.502,warmUp,28.79,6.92,4.16,1.663,48.1,28.86,6.92,4.17,1.659,47.4
80.001,warmUp,28.72,6.92,4.15,1.667,48.8,28.79,6.92,4.16,1.663,48.1
