now,event,power,voltage,current,resistance,temperature,steady-state-count,filtered-delta
0.000,preprocess,5.47,2.72,2.01,1.353,26.0,0,0.000000
0.000,timerEvent,120.53,12.85,9.38,1.370,29.2,0,0.000000
1.355,timerEvent,114.35,12.82,8.92,1.437,42.2,0,0.000000
2.712,timerEvent,118.04,13.13,8.99,1.461,46.6,0,0.000000
4.068,timerEvent,118.05,13.22,8.93,1.480,50.5,0,0.000000
6.001,timerEvent,117.93,13.31,8.86,1.502,54.7,0,0.000000
8.001,timerEvent,117.87,13.41,8.79,1.526,59.2,0,0.000000
10.001,timerEvent,118.30,13.52,8.75,1.545,62.9,0,0.000000
12.001,timerEvent,118.18,13.60,8.69,1.565,66.8,0,0.000000
14.001,timerEvent,118.56,13.69,8.66,1.581,69.8,0,0.000000
16.002,timerEvent,118.20,13.76,8.59,1.602,73.9,0,0.000000
18.001,timerEvent,118.69,13.85,8.57,1.616,76.6,0,0.000000
20.001,timerEvent,118.79,13.91,8.54,1.629,79.0,0,0.000000
22.002,timerEvent,118.55,13.98,8.48,1.649,82.8,0,0.000000
24.002,timerEvent,118.86,14.05,8.46,1.661,85.2,0,0.000000
26.002,timerEvent,118.36,14.09,8.40,1.677,88.4,0,0.000000
28.001,timerEvent,118.74,14.17,8.38,1.691,91.0,0,0.000000
30.002,timerEvent,118.45,14.22,8.33,1.707,94.1,0,0.000000
32.002,timerEvent,118.83,14.30,8.31,1.721,96.7,0,0.000000
34.001,timerEvent,118.90,14.36,8.28,1.734,99.3,0,0.000000
38.002,timerEvent,117.73,14.41,8.17,1.764,105.0,0,0.000000
40.001,timerEvent,5.23,2.99,1.75,1.709,94.4,0,0.000000
44.002,timerEvent,114.97,14.30,8.04,1.779,107.9,0,0.000000
