now,event,power,voltage,current,resistance,temperature,stage,steady-state-count,filtered-delta
0.000,preprocess,5.88,2.89,2.03,1.42095,26.0,,0,0.000000
0.000,timerEvent,89.88,11.23,8.00,1.40308,22.7,bangBang,0,0.000000
1.355,timerEvent,91.88,11.48,8.00,1.43432,28.4,bangBang,0,0.000000
2.713,timerEvent,93.08,11.63,8.00,1.45306,31.9,bangBang,0,0.000000
4.072,timerEvent,93.96,11.74,8.00,1.46680,34.4,bangBang,0,0.000000
6.002,timerEvent,95.09,11.88,8.00,1.48429,37.6,bangBang,0,0.000000
8.001,timerEvent,96.29,12.03,8.00,1.50303,41.0,bangBang,0,0.000000
10.001,timerEvent,97.09,12.13,8.00,1.51553,43.3,bangBang,0,0.000000
12.001,timerEvent,98.13,12.26,8.00,1.53177,46.3,bangBang,0,0.000000
14.001,timerEvent,99.01,12.37,8.00,1.54551,48.8,bangBang,0,0.000000
16.001,timerEvent,100.05,12.50,8.00,1.56176,51.8,bangBang,0,0.000000
18.001,timerEvent,100.93,12.61,8.00,1.57550,54.3,bangBang,0,0.000000
20.001,timerEvent,101.81,12.72,8.00,1.58924,56.8,bangBang,0,0.000000
22.001,timerEvent,102.77,12.84,8.00,1.60424,59.6,bangBang,0,0.000000
24.002,timerEvent,103.65,12.95,8.00,1.61798,62.1,bangBang,0,0.000000
26.002,timerEvent,104.69,13.08,8.00,1.63422,65.1,bangBang,0,0.000000
28.001,timerEvent,105.49,13.18,8.00,1.64672,67.4,bangBang,0,0.000000
30.002,timerEvent,106.53,13.31,8.00,1.66296,70.4,bangBang,0,0.000000
32.002,timerEvent,107.33,13.41,8.00,1.67545,72.6,bangBang,0,0.000000
34.001,timerEvent,108.21,13.52,8.00,1.68920,75.2,bangBang,0,0.000000
36.002,timerEvent,108.45,13.60,7.97,1.70555,78.2,bangBang,0,0.000000
38.002,timerEvent,108.95,13.68,7.96,1.71773,80.4,bangBang,0,0.000000
40.001,timerEvent,108.64,13.71,7.92,1.73018,82.7,bangBang,0,0.000000
42.001,timerEvent,108.70,13.77,7.89,1.74435,85.3,bangBang,0,0.000000
44.001,timerEvent,108.68,13.82,7.86,1.75735,87.7,bangBang,0,0.000000
46.002,timerEvent,108.80,13.87,7.84,1.76820,89.6,bangBang,0,0.000000
48.002,timerEvent,108.91,13.92,7.82,1.77911,91.6,bangBang,0,0.000000
50.001,timerEvent,108.67,13.96,7.78,1.79338,94.3,bangBang,0,0.000000
52.002,timerEvent,108.85,14.02,7.76,1.80572,96.5,bangBang,0,0.000000
54.001,timerEvent,108.53,14.05,7.72,1.81895,98.9,bangBang,0,0.000000
56.001,timerEvent,108.93,14.12,7.71,1.83038,101.0,bangBang,0,0.000000
58.001,timerEvent,0.55,0.99,0.55,1.79785,95.1,bangBang,0,0.000000
60.001,timerEvent,106.55,13.92,7.65,1.81858,98.9,bangBang,0,0.000000
62.001,timerEvent,108.07,14.10,7.66,1.83970,102.8,bangBang,0,0.000000
64.001,timerEvent,0.55,0.99,0.55,1.79785,95.1,bangBang,0,0.000000
66.002,timerEvent,105.71,13.92,7.59,1.83294,101.5,bangBang,0,0.000000
68.001,timerEvent,0.55,0.99,0.55,1.79785,95.1,bangBang,0,0.000000
70.001,timerEvent,105.30,13.92,7.56,1.84020,102.8,bangBang,0,0.000000
72.001,timerEvent,0.55,0.99,0.55,1.79785,95.1,bangBang,0,0.000000
74.002,timerEvent,104.88,13.92,7.53,1.84752,104.2,bangBang,0,0.000000
76.001,timerEvent,0.53,0.99,0.54,1.83201,101.3,bangBang,0,0.000000
78.001,timerEvent,0.55,0.99,0.55,1.79785,95.1,bangBang,0,0.000000
80.001,timerEvent,104.74,13.92,7.52,1.84997,104.6,bangBang,0,0.000000
82.001,timerEvent,0.53,0.99,0.54,1.83201,101.3,bangBang,0,0.000000
84.001,timerEvent,0.53,0.99,0.54,1.83201,101.3,bangBang,0,0.000000
86.001,timerEvent,0.55,0.99,0.55,1.79785,95.1,bangBang,0,0.000000
88.001,timerEvent,104.74,13.92,7.52,1.84997,104.6,bangBang,0,0.000000
90.001,timerEvent,0.53,0.99,0.54,1.83201,101.3,bangBang,0,0.000000
92.002,timerEvent,0.53,0.99,0.54,1.83201,101.3,bangBang,0,0.000000
94.001,timerEvent,0.55,0.99,0.55,1.79785,95.1,bangBang,0,0.000000
96.001,timerEvent,104.46,13.92,7.50,1.85490,105.5,bangBang,0,0.000000
98.002,timerEvent,0.53,0.99,0.54,1.83201,101.3,bangBang,0,0.000000
100.001,timerEvent,0.53,0.99,0.54,1.83201,101.3,bangBang,0,0.000000
102.001,timerEvent,0.53,0.99,0.54,1.83201,101.3,bangBang,0,0.000000
104.002,timerEvent,0.55,0.99,0.55,1.79785,95.1,bangBang,0,0.000000
106.001,timerEvent,104.74,13.92,7.52,1.84997,104.6,bangBang,0,0.000000
108.001,timerEvent,0.53,0.99,0.54,1.83201,101.3,bangBang,0,0.000000
110.001,timerEvent,0.53,0.99,0.54,1.83201,101.3,bangBang,0,0.000000
112.001,timerEvent,0.53,0.99,0.54,1.83201,101.3,bangBang,0,0.000000
114.001,timerEvent,0.55,0.99,0.55,1.79785,95.1,bangBang,0,0.000000
116.001,timerEvent,104.74,13.92,7.52,1.84997,104.6,bangBang,0,0.000000
118.001,timerEvent,0.53,0.99,0.54,1.83201,101.3,bangBang,0,0.000000
120.001,timerEvent,0.53,0.99,0.54,1.83201,101.3,bangBang,0,0.000000
122.001,timerEvent,0.53,0.99,0.54,1.83201,101.3,bangBang,0,0.000000
124.002,timerEvent,0.55,0.99,0.55,1.79785,95.1,bangBang,0,0.000000
