now,event,power,voltage,current,resistance,temperature,stage,raw-current,raw-voltage,steady-state-count,filtered-delta
0.000,preprocess,5.403,2.709,1.995,1.35817,26.0,,2.00,2.71,0,0.000000
0.000,timerEvent,89.345,11.142,8.019,1.38940,32.0,bangBang,8.02,11.18,0,0.000000
1.356,timerEvent,91.186,11.371,8.019,1.41802,37.5,bangBang,8.02,11.41,0,0.000000
2.711,timerEvent,92.306,11.511,8.019,1.43545,40.8,bangBang,8.02,11.55,0,0.000000
4.070,timerEvent,93.267,11.631,8.019,1.45038,43.7,bangBang,8.02,11.67,0,0.000000
6.001,timerEvent,94.307,11.760,8.019,1.46656,46.8,bangBang,8.02,11.80,0,0.000000
8.002,timerEvent,95.267,11.880,8.019,1.48149,49.6,bangBang,8.02,11.92,0,0.000000
10.001,timerEvent,96.386,12.020,8.019,1.49889,53.0,bangBang,8.02,12.06,0,0.000000
12.002,timerEvent,97.264,12.129,8.019,1.51254,55.6,bangBang,8.02,12.17,0,0.000000
14.002,timerEvent,98.381,12.268,8.019,1.52991,58.9,bangBang,8.02,12.31,0,0.000000
16.001,timerEvent,99.259,12.378,8.019,1.54356,61.6,bangBang,8.02,12.42,0,0.000000
18.001,timerEvent,100.057,12.477,8.019,1.55597,63.9,bangBang,8.02,12.52,0,0.000000
20.002,timerEvent,101.094,12.607,8.019,1.57210,67.0,bangBang,8.02,12.65,0,0.000000
22.001,timerEvent,101.972,12.716,8.019,1.58575,69.6,bangBang,8.02,12.76,0,0.000000
24.001,timerEvent,103.009,12.846,8.019,1.60188,72.7,bangBang,8.02,12.89,0,0.000000
26.001,timerEvent,103.807,12.945,8.019,1.61429,75.1,bangBang,8.02,12.99,0,0.000000
28.002,timerEvent,104.840,13.074,8.019,1.63036,78.2,bangBang,8.02,13.12,0,0.000000
30.001,timerEvent,105.714,13.183,8.019,1.64395,80.8,bangBang,8.02,13.23,0,0.000000
32.001,timerEvent,106.509,13.282,8.019,1.65631,83.2,bangBang,8.02,13.33,0,0.000000
34.002,timerEvent,107.542,13.411,8.019,1.67237,86.3,bangBang,8.02,13.46,0,0.000000
36.002,timerEvent,108.337,13.510,8.019,1.68473,88.6,bangBang,8.02,13.56,0,0.000000
38.001,timerEvent,109.153,13.629,8.009,1.70169,91.9,bangBang,8.01,13.68,0,0.000000
40.002,timerEvent,109.571,13.698,7.999,1.71250,93.9,bangBang,8.00,13.75,0,0.000000
42.002,timerEvent,109.415,13.748,7.959,1.72738,96.8,bangBang,7.96,13.80,0,0.000000
44.001,timerEvent,109.610,13.807,7.939,1.73924,99.1,bangBang,7.94,13.86,0,0.000000
46.001,timerEvent,109.229,13.847,7.888,1.75534,102.2,bangBang,7.89,13.90,0,0.000000
48.001,timerEvent,5.245,3.007,1.744,1.72390,96.1,bangBang,1.75,3.01,0,0.000000
