now,event,power,voltage,current,resistance,temperature,stage,raw-voltage,raw-current,steady-state-count,filtered-delta
0.000,preprocess,5.470,2.729,2.005,1.36130,26.0,,2.73,2.01,0,0.000000
0.000,timerEvent,89.617,11.162,8.029,1.39014,31.5,bangBang,11.20,8.03,0,0.000000
1.357,timerEvent,91.460,11.391,8.029,1.41873,37.0,bangBang,11.43,8.03,0,0.000000
2.713,timerEvent,92.582,11.531,8.029,1.43613,40.3,bangBang,11.57,8.03,0,0.000000
4.071,timerEvent,93.544,11.651,8.029,1.45105,43.2,bangBang,11.69,8.03,0,0.000000
6.001,timerEvent,94.585,11.780,8.029,1.46721,46.3,bangBang,11.82,8.03,0,0.000000
8.002,timerEvent,95.547,11.900,8.029,1.48212,49.1,bangBang,11.94,8.03,0,0.000000
10.001,timerEvent,96.667,12.040,8.029,1.49949,52.4,bangBang,12.08,8.03,0,0.000000
12.001,timerEvent,97.546,12.149,8.029,1.51313,55.0,bangBang,12.19,8.03,0,0.000000
14.001,timerEvent,98.664,12.288,8.029,1.53048,58.4,bangBang,12.33,8.03,0,0.000000
16.002,timerEvent,99.543,12.398,8.029,1.54411,61.0,bangBang,12.44,8.03,0,0.000000
18.001,timerEvent,100.342,12.497,8.029,1.55650,63.3,bangBang,12.54,8.03,0,0.000000
20.001,timerEvent,101.380,12.627,8.029,1.57261,66.4,bangBang,12.67,8.03,0,0.000000
22.001,timerEvent,102.259,12.736,8.029,1.58624,69.0,bangBang,12.78,8.03,0,0.000000
24.002,timerEvent,103.298,12.865,8.029,1.60235,72.1,bangBang,12.91,8.03,0,0.000000
26.001,timerEvent,104.096,12.965,8.029,1.61474,74.5,bangBang,13.01,8.03,0,0.000000
28.001,timerEvent,105.131,13.094,8.029,1.63079,77.6,bangBang,13.14,8.03,0,0.000000
30.001,timerEvent,106.006,13.203,8.029,1.64436,80.2,bangBang,13.25,8.03,0,0.000000
32.001,timerEvent,106.881,13.312,8.029,1.65794,82.8,bangBang,13.36,8.03,0,0.000000
34.001,timerEvent,107.836,13.431,8.029,1.67275,85.6,bangBang,13.48,8.03,0,0.000000
36.001,timerEvent,108.631,13.530,8.029,1.68509,88.0,bangBang,13.58,8.03,0,0.000000
38.001,timerEvent,109.370,13.639,8.019,1.70079,91.0,bangBang,13.69,8.02,0,0.000000
40.001,timerEvent,109.729,13.718,7.999,1.71498,93.7,bangBang,13.77,8.00,0,0.000000
42.001,timerEvent,109.711,13.768,7.969,1.72768,96.1,bangBang,13.82,7.97,0,0.000000
44.001,timerEvent,109.689,13.817,7.939,1.74049,98.5,bangBang,13.87,7.94,0,0.000000
46.001,timerEvent,109.803,13.867,7.919,1.75116,100.6,bangBang,13.92,7.92,0,0.000000
48.001,timerEvent,5.293,3.017,1.754,1.71974,94.6,bangBang,3.02,1.76,0,0.000000
50.001,timerEvent,108.369,13.738,7.888,1.74152,98.7,bangBang,13.79,7.89,0,0.000000
52.001,timerEvent,108.689,13.867,7.838,1.76912,104.0,bangBang,13.92,7.84,0,0.000000
54.001,timerEvent,5.232,3.017,1.734,1.73964,98.4,bangBang,3.02,1.74,0,0.000000
56.001,timerEvent,108.023,13.817,7.818,1.76734,103.7,bangBang,13.87,7.82,0,0.000000
58.001,timerEvent,5.202,3.017,1.724,1.74976,100.3,bangBang,3.02,1.73,0,0.000000
60.001,timerEvent,5.215,3.007,1.734,1.73388,97.3,bangBang,3.01,1.74,0,0.000000
62.002,timerEvent,107.529,13.807,7.788,1.77291,104.8,bangBang,13.86,7.79,0,0.000000
64.002,timerEvent,5.202,3.017,1.724,1.74976,100.3,bangBang,3.02,1.73,0,0.000000
66.001,timerEvent,5.215,3.007,1.734,1.73388,97.3,bangBang,3.01,1.74,0,0.000000
68.001,timerEvent,107.390,13.807,7.778,1.77520,105.2,bangBang,13.86,7.78,0,0.000000
