now,event,power,voltage,current,resistance,temperature,stage,raw-voltage,raw-current,steady-state-count,filtered-delta,sample-count
0.000,preprocess,5.443,2.729,1.995,1.36812,27.0,,2.73,2.00,0,0.000000,0
0.000,timerEvent,89.665,11.182,8.019,1.39438,32.0,bangBang,11.22,8.02,0,0.000000,0
1.355,timerEvent,91.586,11.421,8.019,1.42424,37.7,bangBang,11.46,8.02,0,0.000000,0
2.711,timerEvent,92.823,11.561,8.029,1.43986,40.7,bangBang,11.60,8.03,0,0.000000,0
4.069,timerEvent,93.587,11.671,8.019,1.45536,43.7,bangBang,11.71,8.02,0,0.000000,0
6.001,timerEvent,94.627,11.800,8.019,1.47154,46.8,bangBang,11.84,8.02,0,0.000000,0
8.001,timerEvent,95.587,11.920,8.019,1.48647,49.6,bangBang,11.96,8.02,0,0.000000,0
10.001,timerEvent,96.705,12.059,8.019,1.50385,52.9,bangBang,12.10,8.02,0,0.000000,0
12.002,timerEvent,97.663,12.179,8.019,1.51874,55.8,bangBang,12.22,8.02,0,0.000000,0
14.001,timerEvent,98.700,12.308,8.019,1.53488,58.9,bangBang,12.35,8.02,0,0.000000,0
16.001,timerEvent,99.703,12.418,8.029,1.54659,61.1,bangBang,12.46,8.03,0,0.000000,0
18.002,timerEvent,100.376,12.517,8.019,1.56093,63.8,bangBang,12.56,8.02,0,0.000000,0
20.002,timerEvent,101.493,12.656,8.019,1.57830,67.2,bangBang,12.70,8.02,0,0.000000,0
22.001,timerEvent,102.291,12.756,8.019,1.59071,69.5,bangBang,12.80,8.02,0,0.000000,0
24.002,timerEvent,103.328,12.885,8.019,1.60684,72.6,bangBang,12.93,8.02,0,0.000000,0
26.002,timerEvent,104.205,12.995,8.019,1.62047,75.2,bangBang,13.04,8.02,0,0.000000,0
28.002,timerEvent,2.564,2.014,1.273,1.58194,67.9,bangBang,2.01,1.28,0,0.000000,0
30.001,timerEvent,103.807,12.945,8.019,1.61429,74.0,bangBang,12.99,8.02,0,0.000000,0
32.001,timerEvent,105.396,13.143,8.019,1.63901,78.8,bangBang,13.19,8.02,0,0.000000,0
34.001,timerEvent,2.524,2.014,1.253,1.60727,72.7,bangBang,2.01,1.26,0,0.000000,0
36.001,timerEvent,105.238,13.123,8.019,1.63654,78.3,bangBang,13.17,8.02,0,0.000000,0
38.002,timerEvent,2.503,2.014,1.243,1.62024,75.2,bangBang,2.01,1.25,0,0.000000,0
40.002,timerEvent,2.524,2.014,1.253,1.60727,72.7,bangBang,2.01,1.26,0,0.000000,0
42.001,timerEvent,105.953,13.213,8.019,1.64766,80.4,bangBang,13.26,8.02,0,0.000000,0
