now,stage,power,voltage,current,resistance,temperature,last.power,last.voltage,last.current,last.resistance,last.temperature
0.000,,0.00,0.00,0.00,0.000,0.0,0.00,0.00,0.00,0.000,0.0
0.000,,0.02,0.17,0.10,1.700,26.0,0.00,0.00,0.00,0.000,0.0
1.349,,36.13,7.14,5.06,1.411,-18.3,0.02,0.17,0.10,1.700,26.0
2.701,,29.72,6.49,4.58,1.417,-17.4,36.13,7.14,5.06,1.411,-18.3
5.001,,29.71,6.50,4.57,1.422,-16.5,29.72,6.49,4.58,1.417,-17.4
7.502,,29.73,6.52,4.56,1.430,-15.4,29.71,6.50,4.57,1.422,-16.5
10.001,,29.71,6.53,4.55,1.435,-14.6,29.73,6.52,4.56,1.430,-15.4
12.502,,29.74,6.55,4.54,1.443,-13.4,29.71,6.53,4.55,1.435,-14.6
15.002,,29.72,6.56,4.53,1.448,-12.6,29.74,6.55,4.54,1.443,-13.4
17.502,,29.85,6.59,4.53,1.455,-11.6,29.72,6.56,4.53,1.448,-12.6
20.001,,29.90,6.60,4.53,1.457,-11.2,29.85,6.59,4.53,1.455,-11.6
22.501,,29.77,6.60,4.51,1.463,-10.2,29.90,6.60,4.53,1.457,-11.2
25.001,,29.75,6.61,4.50,1.469,-9.4,29.77,6.60,4.51,1.463,-10.2
27.502,,29.66,6.62,4.48,1.478,-8.1,29.75,6.61,4.50,1.469,-9.4
30.002,,29.75,6.64,4.48,1.482,-7.4,29.66,6.62,4.48,1.478,-8.1
32.501,,29.73,6.65,4.47,1.488,-6.5,29.75,6.64,4.48,1.482,-7.4
35.001,,29.81,6.67,4.47,1.492,-5.8,29.73,6.65,4.47,1.488,-6.5
37.501,,29.68,6.67,4.45,1.499,-4.8,29.81,6.67,4.47,1.492,-5.8
40.002,,29.66,6.68,4.44,1.505,-4.0,29.68,6.67,4.45,1.499,-4.8
42.502,,29.75,6.70,4.44,1.509,-3.3,29.66,6.68,4.44,1.505,-4.0
45.001,,29.73,6.71,4.43,1.515,-2.4,29.75,6.70,4.44,1.509,-3.3
47.502,,29.77,6.72,4.43,1.517,-2.0,29.73,6.71,4.43,1.515,-2.4
50.002,,29.75,6.73,4.42,1.523,-1.2,29.77,6.72,4.43,1.517,-2.0
52.501,,29.72,6.74,4.41,1.528,-0.3,29.75,6.73,4.42,1.523,-1.2
55.002,,29.70,6.75,4.40,1.534,0.6,29.72,6.74,4.41,1.528,-0.3
57.502,,29.74,6.76,4.40,1.536,0.9,29.70,6.75,4.40,1.534,0.6
60.001,,29.68,6.76,4.39,1.540,1.5,29.74,6.76,4.40,1.536,0.9
62.501,,29.65,6.77,4.38,1.546,2.4,29.68,6.76,4.39,1.540,1.5
65.001,,29.70,6.78,4.38,1.548,2.7,29.65,6.77,4.38,1.546,2.4
67.502,,29.56,6.78,4.36,1.555,3.8,29.70,6.78,4.38,1.548,2.7
70.002,,29.76,6.81,4.37,1.558,4.3,29.56,6.78,4.36,1.555,3.8
72.502,,29.62,6.81,4.35,1.566,5.4,29.76,6.81,4.37,1.558,4.3
75.001,,29.71,6.83,4.35,1.570,6.1,29.62,6.81,4.35,1.566,5.4
77.501,,29.69,6.84,4.34,1.576,7.0,29.71,6.83,4.35,1.570,6.1
80.002,,29.66,6.85,4.33,1.582,7.9,29.69,6.84,4.34,1.576,7.0
82.502,,29.68,6.87,4.32,1.590,9.2,29.66,6.85,4.33,1.582,7.9
85.001,,29.52,6.88,4.29,1.604,11.3,29.68,6.87,4.32,1.590,9.2
87.503,,30.03,6.92,4.34,1.594,9.8,29.52,6.88,4.29,1.604,11.3
90.002,,29.63,6.89,4.30,1.602,11.0,30.03,6.92,4.34,1.594,9.8
92.502,,29.83,6.92,4.31,1.606,11.5,29.63,6.89,4.30,1.602,11.0
95.002,,29.83,6.92,4.31,1.606,11.5,29.83,6.92,4.31,1.606,11.5
97.502,,29.76,6.92,4.30,1.609,12.1,29.83,6.92,4.31,1.606,11.5
100.002,,29.69,6.92,4.29,1.613,12.7,29.76,6.92,4.30,1.609,12.1
102.501,,29.66,6.93,4.28,1.619,13.6,29.69,6.92,4.29,1.613,12.7
105.002,,29.75,6.95,4.28,1.624,14.3,29.66,6.93,4.28,1.619,13.6
107.501,,29.72,6.96,4.27,1.630,15.3,29.75,6.95,4.28,1.624,14.3
110.001,,29.76,6.97,4.27,1.632,15.6,29.72,6.96,4.27,1.630,15.3
112.501,,29.62,6.97,4.25,1.640,16.8,29.76,6.97,4.27,1.632,15.6
115.001,,29.82,7.00,4.26,1.643,17.3,29.62,6.97,4.25,1.640,16.8
117.502,,29.75,7.00,4.25,1.647,17.9,29.82,7.00,4.26,1.643,17.3
120.002,,29.68,7.00,4.24,1.651,18.5,29.75,7.00,4.25,1.647,17.9
122.501,,29.65,7.01,4.23,1.657,19.4,29.68,7.00,4.24,1.651,18.5
125.002,,29.78,7.04,4.23,1.664,20.5,29.65,7.01,4.23,1.657,19.4
127.501,,29.71,7.04,4.22,1.668,21.1,29.78,7.04,4.23,1.664,20.5
130.002,,29.68,7.05,4.21,1.675,22.1,29.71,7.04,4.22,1.668,21.1
132.502,,29.72,7.06,4.21,1.677,22.5,29.68,7.05,4.21,1.675,22.1
135.001,,29.84,7.07,4.22,1.675,22.2,29.72,7.06,4.21,1.677,22.5
137.501,,29.65,7.06,4.20,1.681,23.1,29.84,7.07,4.22,1.675,22.2
140.001,,29.69,7.07,4.20,1.683,23.4,29.65,7.06,4.20,1.681,23.1
142.501,,29.62,7.07,4.19,1.687,24.1,29.69,7.07,4.20,1.683,23.4
145.002,,29.71,7.09,4.19,1.692,24.8,29.62,7.07,4.19,1.687,24.1
147.501,,29.75,7.10,4.19,1.695,25.2,29.71,7.09,4.19,1.692,24.8
150.002,,29.75,7.10,4.19,1.695,25.2,29.75,7.10,4.19,1.695,25.2
152.501,,29.68,7.10,4.18,1.699,25.8,29.75,7.10,4.19,1.695,25.2
155.002,,29.69,7.12,4.17,1.707,27.1,29.68,7.10,4.18,1.699,25.8
157.502,,29.80,7.13,4.18,1.706,26.9,29.69,7.12,4.17,1.707,27.1
160.001,,29.73,7.13,4.17,1.710,27.5,29.80,7.13,4.18,1.706,26.9
162.502,,29.77,7.14,4.17,1.712,27.9,29.73,7.13,4.17,1.710,27.5
165.001,,29.70,7.14,4.16,1.716,28.5,29.77,7.14,4.17,1.712,27.9
167.502,,29.79,7.16,4.16,1.721,29.2,29.70,7.14,4.16,1.716,28.5
170.002,,29.83,7.17,4.16,1.724,29.6,29.79,7.16,4.16,1.721,29.2
172.502,,29.76,7.17,4.15,1.728,30.2,29.83,7.17,4.16,1.724,29.6
175.002,,29.68,7.17,4.14,1.732,30.9,29.76,7.17,4.15,1.728,30.2
177.501,,29.73,7.18,4.14,1.734,31.3,29.68,7.17,4.14,1.732,30.9
180.002,,29.81,7.20,4.14,1.739,32.0,29.73,7.18,4.14,1.734,31.3
182.502,,29.85,7.21,4.14,1.742,32.4,29.81,7.20,4.14,1.739,32.0
185.002,,29.85,7.21,4.14,1.742,32.4,29.85,7.21,4.14,1.742,32.4
187.502,,29.78,7.21,4.13,1.746,33.0,29.85,7.21,4.14,1.742,32.4
190.002,,29.71,7.21,4.12,1.750,33.7,29.78,7.21,4.13,1.746,33.0
192.502,,29.75,7.22,4.12,1.752,34.0,29.71,7.21,4.12,1.750,33.7
195.002,,29.83,7.24,4.12,1.757,34.8,29.75,7.22,4.12,1.752,34.0
197.502,,29.87,7.25,4.12,1.760,35.1,29.83,7.24,4.12,1.757,34.8
200.002,,29.87,7.25,4.12,1.760,35.1,29.87,7.25,4.12,1.760,35.1
202.502,,29.80,7.25,4.11,1.764,35.8,29.87,7.25,4.12,1.760,35.1
205.002,,29.72,7.25,4.10,1.768,36.5,29.80,7.25,4.11,1.764,35.8
207.502,,29.84,7.26,4.11,1.766,36.2,29.72,7.25,4.10,1.768,36.5
210.002,,29.72,7.25,4.10,1.768,36.5,29.84,7.26,4.11,1.766,36.2
212.501,,29.77,7.26,4.10,1.771,36.8,29.72,7.25,4.10,1.768,36.5
215.002,,29.69,7.26,4.09,1.775,37.5,29.77,7.26,4.10,1.771,36.8
217.502,,29.81,7.27,4.10,1.773,37.2,29.69,7.26,4.09,1.775,37.5
220.002,,29.78,7.28,4.09,1.780,38.2,29.81,7.27,4.10,1.773,37.2
222.502,,29.74,7.29,4.08,1.787,39.3,29.78,7.28,4.09,1.780,38.2
225.002,,29.86,7.30,4.09,1.785,39.0,29.74,7.29,4.08,1.787,39.3
227.502,,29.67,7.29,4.07,1.791,40.0,29.86,7.30,4.09,1.785,39.0
230.002,,29.82,7.31,4.08,1.792,40.0,29.67,7.29,4.07,1.791,40.0
232.502,,29.79,7.32,4.07,1.799,41.1,29.82,7.31,4.08,1.792,40.0
235.002,,29.91,7.33,4.08,1.797,40.8,29.79,7.32,4.07,1.799,41.1
237.502,,29.91,7.33,4.08,1.797,40.8,29.91,7.33,4.08,1.797,40.8
240.002,,29.83,7.33,4.07,1.801,41.5,29.91,7.33,4.08,1.797,40.8
242.502,,29.83,7.33,4.07,1.801,41.5,29.83,7.33,4.07,1.801,41.5
245.002,,29.76,7.33,4.06,1.805,42.2,29.83,7.33,4.07,1.801,41.5
247.502,,29.69,7.33,4.05,1.810,42.8,29.76,7.33,4.06,1.805,42.2
250.002,,29.65,7.34,4.04,1.817,43.9,29.69,7.33,4.05,1.810,42.8
252.502,,29.85,7.37,4.05,1.820,44.3,29.65,7.34,4.04,1.817,43.9
255.002,,29.85,7.37,4.05,1.820,44.3,29.85,7.37,4.05,1.820,44.3
257.502,,29.77,7.37,4.04,1.824,45.0,29.85,7.37,4.05,1.820,44.3
260.002,,29.73,7.36,4.04,1.822,44.7,29.77,7.37,4.04,1.824,45.0
262.502,,29.66,7.36,4.03,1.826,45.4,29.73,7.36,4.04,1.822,44.7
265.002,,29.74,7.38,4.03,1.831,46.1,29.66,7.36,4.03,1.826,45.4
267.502,,29.86,7.39,4.04,1.829,45.8,29.74,7.38,4.03,1.831,46.1
270.002,,29.74,7.38,4.03,1.831,46.1,29.86,7.39,4.04,1.829,45.8
