now,event,power,voltage,current,resistance,temperature,steady-state-count
0.000,preprocess,0.00,0.00,0.00,0.000,0.0,0
0.000,timerEvent,5.67,2.82,2.01,1.403,22.2,0
1.350,timerEvent,49.86,8.38,5.95,1.408,23.1,0
2.702,timerEvent,49.30,8.37,5.89,1.421,25.3,0
5.002,timerEvent,49.37,8.41,5.87,1.433,27.3,0
7.502,timerEvent,49.43,8.45,5.85,1.444,29.3,0
10.002,timerEvent,49.44,8.48,5.83,1.455,31.0,0
12.502,timerEvent,49.38,8.50,5.81,1.463,32.4,0
15.002,timerEvent,49.53,8.54,5.80,1.472,34.0,0
17.502,timerEvent,49.53,8.57,5.78,1.483,35.7,0
20.002,timerEvent,49.56,8.59,5.77,1.489,36.8,0
22.501,timerEvent,49.36,8.60,5.74,1.498,38.4,0
25.002,timerEvent,49.45,8.63,5.73,1.506,39.7,0
27.502,timerEvent,49.45,8.66,5.71,1.517,41.5,0
30.002,timerEvent,49.53,8.69,5.70,1.525,42.8,0
32.502,timerEvent,49.47,8.71,5.68,1.533,44.3,0
35.002,timerEvent,49.56,8.74,5.67,1.541,45.7,0
37.502,timerEvent,49.44,8.75,5.65,1.549,46.9,0
40.002,timerEvent,49.43,8.78,5.63,1.560,48.8,0
42.502,timerEvent,49.66,8.82,5.63,1.567,50.0,0
45.002,timerEvent,49.54,8.83,5.61,1.574,51.2,0
47.502,timerEvent,49.56,8.85,5.60,1.580,52.3,0
50.002,timerEvent,49.49,8.87,5.58,1.590,53.9,0
52.502,timerEvent,49.52,8.89,5.57,1.596,55.0,0
55.002,timerEvent,49.45,8.91,5.55,1.605,56.5,0
57.502,timerEvent,49.53,8.94,5.54,1.614,58.0,0
60.002,timerEvent,49.55,8.96,5.53,1.620,59.1,0
62.502,timerEvent,49.53,8.99,5.51,1.632,61.0,0
65.002,timerEvent,49.55,9.01,5.50,1.638,62.1,0
67.502,timerEvent,48.85,9.03,5.41,1.669,67.4,0
70.002,timerEvent,49.70,9.12,5.45,1.673,68.1,0
72.502,timerEvent,49.52,9.12,5.43,1.680,69.1,0
75.002,timerEvent,49.78,9.15,5.44,1.682,69.5,0
77.502,timerEvent,49.56,9.16,5.41,1.693,71.4,0
80.002,timerEvent,49.66,9.18,5.41,1.697,72.1,0
82.502,timerEvent,49.59,9.20,5.39,1.707,73.8,0
85.003,timerEvent,49.64,9.21,5.39,1.709,74.1,0
87.502,timerEvent,49.57,9.23,5.37,1.719,75.8,0
90.002,timerEvent,49.67,9.25,5.37,1.723,76.4,0
92.502,timerEvent,49.69,9.27,5.36,1.729,77.6,0
95.002,timerEvent,49.65,9.28,5.35,1.735,78.5,0
97.502,timerEvent,49.42,9.29,5.32,1.746,80.4,0
100.002,timerEvent,49.68,9.32,5.33,1.749,80.8,0
102.502,timerEvent,49.64,9.33,5.32,1.754,81.7,0
105.002,timerEvent,49.55,9.35,5.30,1.764,83.5,0
107.502,timerEvent,49.75,9.37,5.31,1.765,83.5,0
110.002,timerEvent,49.57,9.37,5.29,1.771,84.7,0
112.502,timerEvent,49.49,9.39,5.27,1.782,86.5,0
