now,event,power,voltage,current,resistance,temperature,steady-state-count,filtered-delta
0.000,preprocess,0.00,0.00,0.00,0.000,0.0,0,0.000000
0.000,timerEvent,5.73,2.85,2.01,1.418,24.8,0,0.000000
1.350,timerEvent,54.78,8.60,6.37,1.350,13.2,0,0.000000
2.702,timerEvent,47.15,8.20,5.75,1.426,26.1,0,-11.503665
5.001,timerEvent,49.26,8.42,5.85,1.439,28.4,0,-9.064266
7.502,timerEvent,49.32,8.46,5.83,1.451,30.4,0,-7.933483
10.003,timerEvent,49.33,8.49,5.81,1.461,32.1,0,-6.940040
12.503,timerEvent,49.39,8.53,5.79,1.473,34.1,0,-6.073753
15.002,timerEvent,49.62,8.57,5.79,1.480,35.3,0,-5.263615
17.502,timerEvent,49.42,8.58,5.76,1.490,36.9,0,-4.620092
20.002,timerEvent,49.56,8.62,5.75,1.499,38.5,0,-3.997902
22.502,timerEvent,49.45,8.63,5.73,1.506,39.7,0,-3.436202
25.002,timerEvent,49.39,8.65,5.71,1.515,41.2,0,-2.974245
27.502,timerEvent,49.48,8.68,5.70,1.523,42.5,0,-2.527955
30.002,timerEvent,49.42,8.70,5.68,1.532,44.0,0,-2.140829
32.502,timerEvent,49.64,8.74,5.68,1.539,45.2,0,-1.776097
35.002,timerEvent,49.52,8.75,5.66,1.546,46.5,0,-1.479057
37.502,timerEvent,49.61,8.78,5.65,1.554,47.8,0,-1.208978
40.002,timerEvent,49.49,8.79,5.63,1.561,49.1,0,-0.951629
42.502,timerEvent,49.57,8.82,5.62,1.569,50.4,0,-0.732723
45.002,timerEvent,49.54,8.83,5.61,1.574,51.2,0,-0.521809
47.502,timerEvent,49.62,8.86,5.60,1.582,52.6,0,-0.391955
50.002,timerEvent,49.49,8.87,5.58,1.590,53.9,0,-0.214241
52.502,timerEvent,49.52,8.89,5.57,1.596,55.0,0,-0.066253
55.002,timerEvent,49.54,8.91,5.56,1.603,56.1,0,0.049665
57.502,timerEvent,49.56,8.93,5.55,1.609,57.2,0,0.154385
60.002,timerEvent,49.49,8.95,5.53,1.618,58.8,0,0.249028
62.502,timerEvent,49.51,8.97,5.52,1.625,59.9,0,0.384148
65.002,timerEvent,49.53,8.99,5.51,1.632,61.0,0,0.456903
67.502,timerEvent,49.55,9.01,5.50,1.638,62.1,0,0.522785
70.002,timerEvent,49.48,9.03,5.48,1.648,63.7,0,0.582485
72.502,timerEvent,49.65,9.06,5.48,1.653,64.7,0,0.687525
75.002,timerEvent,49.67,9.08,5.47,1.660,65.8,0,0.711615
77.502,timerEvent,49.69,9.10,5.46,1.667,66.9,0,0.753719
80.002,timerEvent,49.65,9.11,5.45,1.672,67.8,0,0.792027
82.501,timerEvent,49.52,9.12,5.43,1.680,69.1,0,0.795805
85.002,timerEvent,49.68,9.15,5.43,1.685,70.1,0,0.851869
87.502,timerEvent,49.56,9.16,5.41,1.693,71.4,0,0.860379
90.002,timerEvent,49.66,9.18,5.41,1.697,72.1,0,0.911335
92.502,timerEvent,49.59,9.20,5.39,1.707,73.8,0,0.882897
95.002,timerEvent,49.55,9.21,5.38,1.712,74.6,0,0.964315
97.501,timerEvent,49.62,9.24,5.37,1.721,76.1,0,0.953210
100.002,timerEvent,49.58,9.25,5.36,1.726,77.0,0,1.006696
102.501,timerEvent,49.59,9.27,5.35,1.733,78.1,0,0.992109
105.002,timerEvent,49.50,9.27,5.34,1.736,78.7,0,1.011001
107.500,timerEvent,49.52,9.29,5.33,1.743,79.9,0,0.964929
110.002,timerEvent,49.58,9.32,5.32,1.752,81.4,0,0.987307
112.502,timerEvent,49.54,9.33,5.31,1.757,82.3,0,1.039773
115.002,timerEvent,49.70,9.36,5.31,1.763,83.2,0,1.023685
117.502,timerEvent,49.57,9.37,5.29,1.771,84.7,0,1.017130
120.001,timerEvent,49.73,9.40,5.29,1.777,85.6,0,1.060497
122.502,timerEvent,49.68,9.41,5.28,1.782,86.5,0,1.050623
125.002,timerEvent,49.59,9.41,5.27,1.786,87.1,0,1.034754
127.503,timerEvent,49.45,9.42,5.25,1.794,88.6,0,0.988631
130.002,timerEvent,49.61,9.45,5.25,1.800,89.5,0,1.037430
132.502,timerEvent,49.57,9.46,5.24,1.805,90.5,0,1.030596
135.002,timerEvent,49.73,9.49,5.24,1.811,91.4,0,1.018157
137.502,timerEvent,49.58,9.48,5.23,1.813,91.7,0,1.013435
140.002,timerEvent,49.59,9.50,5.22,1.820,92.9,0,0.938392
142.502,timerEvent,49.55,9.51,5.21,1.825,93.8,0,0.968419
145.002,timerEvent,49.56,9.53,5.20,1.833,95.1,0,0.963369
147.501,timerEvent,49.66,9.55,5.20,1.837,95.7,0,0.991790
150.001,timerEvent,49.67,9.57,5.19,1.844,97.0,0,0.957838
152.502,timerEvent,49.62,9.58,5.18,1.849,97.9,0,0.987419
155.002,timerEvent,49.68,9.59,5.18,1.851,98.3,0,0.981786
157.502,timerEvent,49.68,9.61,5.17,1.859,99.5,0,0.916347
160.002,timerEvent,49.74,9.62,5.17,1.861,99.8,0,0.951047
162.502,timerEvent,49.54,9.62,5.15,1.868,101.1,0,0.888745
165.003,timerEvent,49.70,9.65,5.15,1.874,102.1,0,0.922420
167.502,timerEvent,49.65,9.66,5.14,1.879,103.0,0,0.928968
170.002,timerEvent,49.70,9.67,5.14,1.881,103.3,0,0.930890
172.502,timerEvent,49.56,9.68,5.12,1.891,104.9,0,0.870795
175.001,timerEvent,49.66,9.70,5.12,1.895,105.6,0,0.941470
177.502,timerEvent,49.72,9.71,5.12,1.896,105.9,0,0.913569
180.002,timerEvent,49.52,9.71,5.10,1.904,107.2,0,0.855335
182.502,timerEvent,49.67,9.74,5.10,1.910,108.2,0,0.895930
185.002,timerEvent,49.63,9.75,5.09,1.916,109.1,0,0.906096
187.501,timerEvent,49.73,9.77,5.09,1.919,109.8,0,0.912436
190.001,timerEvent,49.68,9.78,5.08,1.925,110.8,0,0.887829
192.501,timerEvent,49.64,9.79,5.07,1.931,111.8,0,0.896509
195.002,timerEvent,49.69,9.80,5.07,1.933,112.1,0,0.904706
197.502,timerEvent,49.69,9.82,5.06,1.941,113.4,0,0.847685
200.002,timerEvent,49.74,9.83,5.06,1.943,113.7,0,0.894733
202.502,timerEvent,49.54,9.83,5.04,1.950,115.1,0,0.838775
205.001,timerEvent,49.69,9.86,5.04,1.956,116.1,0,0.885637
207.502,timerEvent,49.74,9.87,5.04,1.958,116.4,0,0.898020
210.002,timerEvent,49.65,9.87,5.03,1.962,117.1,0,0.841867
212.502,timerEvent,49.65,9.89,5.02,1.970,118.4,0,0.823707
215.002,timerEvent,49.75,9.91,5.02,1.974,119.1,0,0.875192
217.502,timerEvent,49.65,9.91,5.01,1.978,119.7,0,0.855239
220.003,timerEvent,49.70,9.92,5.01,1.980,120.1,0,0.836539
222.502,timerEvent,49.65,9.93,5.00,1.986,121.1,0,0.786736
225.002,timerEvent,49.75,9.95,5.00,1.990,121.8,0,0.809140
227.502,timerEvent,49.45,9.95,4.97,2.002,123.8,0,0.796062
230.002,timerEvent,49.75,9.99,4.98,2.006,124.5,0,0.920169
232.502,timerEvent,49.95,9.99,5.00,1.998,123.1,0,0.896192
235.002,timerEvent,49.70,9.98,4.98,2.004,124.1,0,0.670492
237.502,timerEvent,49.65,9.99,4.97,2.010,125.2,0,0.705470
240.002,timerEvent,49.75,10.01,4.97,2.014,125.9,0,0.737428
242.502,timerEvent,49.90,10.02,4.98,2.012,125.5,0,0.731931
245.002,timerEvent,49.90,10.02,4.98,2.012,125.5,0,0.624204
247.502,timerEvent,49.80,10.02,4.97,2.016,126.2,0,0.561784
250.002,timerEvent,49.75,10.03,4.96,2.022,127.2,0,0.574262
252.502,timerEvent,49.65,10.03,4.95,2.026,127.9,0,0.619961
255.002,timerEvent,49.75,10.05,4.95,2.030,128.6,0,0.627246
257.502,timerEvent,49.70,10.06,4.94,2.036,129.6,0,0.633043
260.001,timerEvent,49.75,10.07,4.94,2.038,130.0,0,0.673770
262.501,timerEvent,49.65,10.07,4.93,2.043,130.7,0,0.640723
265.002,timerEvent,49.59,10.08,4.92,2.049,131.7,0,0.646773
267.502,timerEvent,49.74,10.11,4.92,2.055,132.8,0,0.686973
270.002,timerEvent,49.64,10.11,4.91,2.059,133.5,0,0.721684
272.502,timerEvent,49.59,10.12,4.90,2.065,134.5,0,0.720491
275.001,timerEvent,49.74,10.15,4.90,2.071,135.6,0,0.754317
277.502,timerEvent,49.68,10.16,4.89,2.078,136.6,0,0.782717
280.003,timerEvent,49.78,10.18,4.89,2.082,137.3,0,0.810965
282.502,timerEvent,49.83,10.19,4.89,2.084,137.7,0,0.799231
285.002,timerEvent,49.73,10.19,4.88,2.088,138.4,0,0.753989
287.501,timerEvent,49.78,10.20,4.88,2.090,138.8,0,0.751008
290.001,timerEvent,49.78,10.20,4.88,2.090,138.8,0,0.710660
292.502,timerEvent,49.47,10.20,4.85,2.103,141.0,0,0.639594
295.002,timerEvent,49.97,10.24,4.88,2.098,140.1,0,0.794896
297.501,timerEvent,49.92,10.23,4.88,2.096,139.8,0,0.635154
300.002,timerEvent,49.67,10.22,4.86,2.103,140.9,0,0.536886
302.502,timerEvent,49.87,10.24,4.87,2.103,140.9,0,0.594605
305.001,timerEvent,49.77,10.24,4.86,2.107,141.6,0,0.531561
307.501,timerEvent,49.77,10.24,4.86,2.107,141.6,0,0.551778
310.001,timerEvent,49.77,10.24,4.86,2.107,141.6,0,0.496601
312.502,timerEvent,49.66,10.24,4.85,2.111,142.4,0,0.446940
315.002,timerEvent,49.71,10.25,4.85,2.113,142.7,0,0.475922
317.502,timerEvent,49.66,10.26,4.84,2.120,143.8,0,0.463297
320.001,timerEvent,49.86,10.28,4.85,2.120,143.7,0,0.526059
322.502,timerEvent,49.86,10.28,4.85,2.120,143.7,0,0.469263
325.002,timerEvent,49.76,10.28,4.84,2.124,144.5,0,0.422337
327.502,timerEvent,49.65,10.28,4.83,2.128,145.2,0,0.454372
330.002,timerEvent,49.75,10.30,4.83,2.133,145.9,0,0.483511
332.502,timerEvent,49.80,10.31,4.83,2.135,146.3,0,0.505384
335.001,timerEvent,49.85,10.32,4.83,2.137,146.6,0,0.489958
337.502,timerEvent,49.74,10.32,4.82,2.141,147.4,0,0.476074
340.002,timerEvent,49.64,10.32,4.81,2.146,148.1,0,0.503644
342.502,timerEvent,49.69,10.33,4.81,2.148,148.5,0,0.528769
345.002,timerEvent,49.89,10.35,4.82,2.147,148.4,0,0.511150
347.502,timerEvent,49.84,10.34,4.82,2.145,148.1,0,0.454842
350.001,timerEvent,49.69,10.33,4.81,2.148,148.5,0,0.374173
352.502,timerEvent,49.68,10.35,4.80,2.156,150.0,0,0.377134
355.002,timerEvent,49.83,10.36,4.81,2.154,149.6,0,0.485961
357.501,timerEvent,49.62,10.36,4.79,2.163,151.1,0,0.396598
360.002,timerEvent,49.67,10.37,4.79,2.165,151.4,0,0.509453
362.502,timerEvent,49.72,10.38,4.79,2.167,151.8,0,0.493913
365.001,timerEvent,49.77,10.39,4.79,2.169,152.1,0,0.479927
367.502,timerEvent,49.82,10.40,4.79,2.171,152.5,0,0.467339
370.001,timerEvent,49.71,10.40,4.78,2.176,153.3,0,0.456010
372.501,timerEvent,49.76,10.41,4.78,2.178,153.6,0,0.487441
375.001,timerEvent,49.76,10.41,4.78,2.178,153.6,0,0.474176
377.502,timerEvent,49.66,10.41,4.77,2.182,154.4,0,0.426759
380.002,timerEvent,49.86,10.43,4.78,2.182,154.3,0,0.461512
382.502,timerEvent,49.81,10.42,4.78,2.180,154.0,0,0.408890
385.001,timerEvent,49.60,10.42,4.76,2.189,155.5,0,0.332522
387.501,timerEvent,49.95,10.45,4.78,2.186,155.0,0,0.454603
390.001,timerEvent,49.80,10.44,4.77,2.189,155.5,0,0.360247
392.502,timerEvent,49.85,10.45,4.77,2.191,155.8,0,0.366396
395.002,timerEvent,49.74,10.45,4.76,2.195,156.6,0,0.365310
397.502,timerEvent,49.74,10.45,4.76,2.195,156.6,0,0.406832
400.001,timerEvent,49.64,10.45,4.75,2.200,157.4,0,0.366149
402.502,timerEvent,49.79,10.46,4.76,2.197,157.0,0,0.407916
405.001,timerEvent,49.84,10.47,4.76,2.200,157.3,0,0.324371
407.502,timerEvent,49.84,10.47,4.76,2.200,157.3,0,0.327562
410.001,timerEvent,49.69,10.46,4.75,2.202,157.7,0,0.294806
412.501,timerEvent,49.78,10.48,4.75,2.206,158.5,0,0.308154
415.001,timerEvent,49.83,10.49,4.75,2.208,158.8,0,0.348745
417.502,timerEvent,49.83,10.49,4.75,2.208,158.8,0,0.349574
420.001,timerEvent,49.72,10.49,4.74,2.213,159.6,0,0.314617
422.502,timerEvent,49.62,10.49,4.73,2.218,160.4,0,0.362169
425.002,timerEvent,49.97,10.52,4.75,2.215,159.9,0,0.405301
427.502,timerEvent,49.77,10.50,4.74,2.215,160.0,0,0.313518
430.002,timerEvent,49.82,10.51,4.74,2.217,160.3,0,0.289849
432.502,timerEvent,49.77,10.50,4.74,2.215,160.0,0,0.296643
435.002,timerEvent,49.67,10.50,4.73,2.220,160.8,0,0.231200
437.502,timerEvent,49.76,10.52,4.73,2.224,161.5,0,0.287504
440.002,timerEvent,49.91,10.53,4.74,2.222,161.0,0,0.330462
442.501,timerEvent,49.76,10.52,4.73,2.224,161.5,0,0.253619
445.001,timerEvent,49.81,10.53,4.73,2.226,161.8,0,0.272054
447.502,timerEvent,49.81,10.53,4.73,2.226,161.8,0,0.280703
450.001,timerEvent,49.70,10.53,4.72,2.231,162.6,0,0.252633
452.502,timerEvent,49.75,10.54,4.72,2.233,163.0,0,0.307358
455.001,timerEvent,49.75,10.54,4.72,2.233,163.0,0,0.312552
457.502,timerEvent,49.75,10.54,4.72,2.233,163.0,0,0.281297
460.001,timerEvent,49.75,10.54,4.72,2.233,163.0,0,0.253167
462.502,timerEvent,49.75,10.54,4.72,2.233,163.0,0,0.227851
465.001,timerEvent,49.54,10.54,4.70,2.243,164.6,0,0.205065
467.502,timerEvent,49.78,10.57,4.71,2.244,164.9,0,0.345710
470.001,timerEvent,50.00,10.57,4.73,2.235,163.3,0,0.338412
472.501,timerEvent,49.69,10.55,4.71,2.240,164.2,0,0.143645
475.002,timerEvent,49.78,10.57,4.71,2.244,164.9,0,0.218193
477.501,timerEvent,49.78,10.57,4.71,2.244,164.9,0,0.268387
480.002,timerEvent,49.68,10.57,4.70,2.249,165.7,0,0.241548
482.502,timerEvent,49.83,10.58,4.71,2.246,165.2,0,0.298370
485.002,timerEvent,49.68,10.57,4.70,2.249,165.7,0,0.223563
487.501,timerEvent,49.77,10.59,4.70,2.253,166.4,0,0.246176
490.002,timerEvent,49.93,10.60,4.71,2.251,166.0,0,0.293725
492.502,timerEvent,49.73,10.58,4.70,2.251,166.0,0,0.219229
495.002,timerEvent,49.73,10.58,4.70,2.251,166.0,0,0.206346
497.501,timerEvent,49.62,10.58,4.69,2.256,166.9,0,0.185712
500.001,timerEvent,49.87,10.61,4.70,2.257,167.1,0,0.248539
502.501,timerEvent,49.87,10.61,4.70,2.257,167.1,0,0.250536
505.001,timerEvent,49.76,10.61,4.69,2.262,167.9,0,0.225482
507.502,timerEvent,49.87,10.61,4.70,2.257,167.1,0,0.284564
510.001,timerEvent,49.76,10.61,4.69,2.262,167.9,0,0.174478
512.502,timerEvent,49.76,10.61,4.69,2.262,167.9,0,0.238659
515.002,timerEvent,49.76,10.61,4.69,2.262,167.9,0,0.214793
517.502,timerEvent,49.65,10.61,4.68,2.267,168.8,0,0.193314
520.001,timerEvent,49.85,10.63,4.69,2.267,168.7,0,0.255961
522.502,timerEvent,49.70,10.62,4.68,2.269,169.1,0,0.220707
525.002,timerEvent,49.80,10.64,4.68,2.274,169.9,0,0.244532
527.502,timerEvent,49.84,10.65,4.68,2.276,170.2,0,0.292553
530.002,timerEvent,49.95,10.65,4.69,2.271,169.4,0,0.299535
532.502,timerEvent,49.80,10.64,4.68,2.274,169.9,0,0.187294
535.002,timerEvent,49.95,10.65,4.69,2.271,169.4,0,0.214615
537.501,timerEvent,49.69,10.64,4.67,2.278,170.7,0,0.147103
540.002,timerEvent,49.84,10.65,4.68,2.276,170.2,0,0.261005
542.502,timerEvent,49.74,10.65,4.67,2.281,171.0,0,0.188580
545.002,timerEvent,49.74,10.65,4.67,2.281,171.0,0,0.252362
547.502,timerEvent,49.74,10.65,4.67,2.281,171.0,0,0.227125
550.002,timerEvent,49.63,10.65,4.66,2.285,171.9,0,0.204413
552.502,timerEvent,49.78,10.66,4.67,2.283,171.4,0,0.266966
555.002,timerEvent,49.78,10.66,4.67,2.283,171.4,0,0.193590
557.502,timerEvent,49.89,10.66,4.68,2.278,170.6,0,0.174231
560.002,timerEvent,49.84,10.65,4.68,2.276,170.2,0,0.074090
562.502,timerEvent,49.52,10.65,4.65,2.290,172.7,0,0.030444
