now,temperature,device-temperature
0,24.2,24.2
1.5,25.0,24.38
3.001,24.4,24.56
4.5,32.1,24.74
6.001,35.8,24.92
7.501,38.5,25.1
9.001,40.9,26.4
10.501,43.2,27.7
12.001,45.4,29.1
13.501,47.4,30.8
15.001,49.4,32.1
16.501,51.4,33
18.001,53.3,34.3
19.5,55.0,36.1
21,56.8,38
22.501,58.6,39.7
24.001,60.2,41.3
25.501,62.0,42.2
27,63.7,44
28.5,65.4,45.8
30,67.0,47.7
31.501,68.6,49.2
33.001,70.2,51.1
34.501,71.9,52.9
36,73.4,53.9
37.501,75.0,55.6
39,76.5,57.2
40.501,78.1,60
42.001,79.6,60.8
43.501,81.2,62.6
45.001,82.7,64.2
46.501,84.2,65
48.001,85.6,66.9
49.501,87.1,68.4
51,88.5,69.3
52.501,90.0,71.8
54.001,91.4,73.4
55.501,92.8,75
57.001,94.3,75.9
58.5,95.7,77.6
60.001,97.1,79.1
61.501,98.5,80.7
63,99.9,82.2
64.501,101.3,83.8
66.001,102.6,85.4
67.501,104.0,86.1
69.001,105.3,87.6
70.501,106.7,89.1
72,108.0,90.7
73.501,109.4,92.2
75,110.7,93.6
76.501,112.0,94.1
78.001,113.4,95.8
79.501,114.8,96.8
81.001,116.2,98.3
82.501,117.4,99.6
84.001,118.8,101
85.501,120.2,102.3
87.001,121.5,103
88.501,122.9,104.4
90.001,124.2,105.8
91.501,125.5,106.1
93.001,126.9,107.7
94.501,128.2,108.6
96.001,129.5,109.6
97.501,130.8,111
99.001,132.1,112
100.501,133.3,113.1
102.001,134.5,113.7
103.501,135.8,114.9
105.001,137.0,115.9
106.501,138.1,117
108.001,139.4,118.1
109.5,132.9,119.3
111.001,130.1,120.1
112.501,128.6,120.6
114,127.7,120.8
115.501,126.2,121
117,125.7,121.2
118.501,124.8,121.4
120.001,123.8,121.6
121.501,122.9,121.8
123.001,122.0,121.8
124.501,121.5,121.8
126.001,127.9,121.7
127.501,130.3,121.7
129.001,132.2,121.9
130.501,133.9,122.6
132.001,135.5,123
133.501,136.9,123.7
135,130.9,124.4
136.501,128.6,125
138,127.7,125.1
139.5,134.2,125.1
141.001,136.7,125.3
142.501,138.4,125.8
144.001,139.9,126.2
145.501,141.3,127
147.001,135.4,127.9
148.501,132.6,128.6
150.001,132.1,129
151.5,131.1,129
153.001,137.5,128.8
154.501,140.1,128.9
156.001,141.7,129.3
157.501,143.1,130
159.001,144.5,130.7
160.501,146.0,131.3
162,140.0,132.2
163.5,137.1,132.6
165.001,136.6,132.9
166.501,135.6,133
168.001,141.9,133
169.5,144.4,133
171.001,146.0,133.4
172.5,147.4,134.1
174.001,148.8,134.4
175.501,150.2,135.1
177,151.5,135.9
178.501,145.2,136.7
180,142.7,137.4
181.501,141.7,137.8
183,140.7,138
184.501,147.2,138
186.001,149.6,138
187.501,151.0,138.3
189.001,152.4,138.9
190.501,153.8,139.1
192.001,155.1,140.2
193.501,156.3,140.6
195.001,150.0,141.2
196.501,147.5,142
198.001,146.5,142.2
199.501,152.8,142.2
201,155.2,142.4
202.501,156.7,143
204.001,158.0,143.1
205.501,159.2,143.9
207.001,160.5,144.4
208.5,154.4,145.4
210.001,151.3,146.1
211.501,150.2,146.4
213,156.9,146.4
214.501,159.2,146.4
216.001,160.6,146.7
217.501,161.9,147
219.001,163.2,147.4
220.501,164.4,148.1
222.001,165.5,148.8
223.501,158.8,149.4
225.001,156.3,150
226.501,155.2,150.4
228.001,161.6,150.6
229.501,163.9,150.6
231.001,165.4,150.7
232.501,166.6,151.2
234.001,167.8,151.9
235.501,169.0,152.3
237.001,170.2,153
238.501,171.3,153.3
240.001,164.6,153.9
241.5,161.4,154.7
243.001,160.3,154.9
244.501,167.1,155
246,169.4,155.1
247.501,170.8,155.3
249.001,172.0,155.8
250.501,173.2,156.3
252.001,174.3,156.9
253.5,175.4,157.3
255.001,176.5,158
256.5,177.6,158.8
258.001,170.5,159.6
259.501,167.9,159.9
261.001,166.7,160.2
262.501,173.1,160.2
264,175.4,160.2
265.501,176.8,160.4
267.001,178.0,161
268.5,179.0,161.3
270.001,180.1,161.8
271.501,181.2,162.2
273.001,182.3,162.9
274.501,183.2,163.4
276.001,184.2,164
277.5,177.2,164.8
279.001,174.6,165.2
280.501,172.7,165.3
282.001,179.5,165.6
283.501,181.8,165.6
285.001,183.0,166
286.5,184.2,166.3
288,185.3,166.8
289.501,186.3,167
291,187.3,167.2
292.501,188.3,168
294.001,189.3,168.7
295.501,190.2,169
297.001,191.0,169.8
298.5,192.0,170.1
300.001,184.8,170.4
301.501,190.0,171
303.001,191.9,171.4
304.501,193.0,172
306,193.9,172.4
307.501,194.8,173
309,195.7,173.6
310.501,196.6,173.8
312,197.4,174.2
313.501,198.2,174.8
315,199.1,175.2
316.5,199.9,176
318.001,200.7,176.7
319.501,201.4,177.2
321.001,202.2,177.3
322.501,202.9,178
324.001,203.7,178.4
325.501,204.4,179.1
327.001,205.1,180
328.501,205.9,180.8
330.001,206.6,181.1
331.5,207.2,181.7
333.001,207.9,182.1
334.501,208.6,182.7
336,209.3,183
337.5,210.0,183.7
339.001,210.6,184.3
340.501,211.3,184.7
342.001,212.0,185.1
343.501,212.6,185.6
345.001,213.3,186
346.501,213.9,186.4
348.001,214.5,186.9
349.501,215.1,187.7
351.001,215.8,188
352.501,216.4,188.8
354.001,217.0,189.3
355.501,217.6,189.7
357.001,218.2,190.4
358.501,218.7,190.8
360.001,219.4,191.4
361.501,219.9,191.9
363.001,220.5,192.2
364.5,221.1,193
366.001,221.6,193.3
367.501,222.2,193.8
369.001,222.7,194.2
370.501,223.3,195
372.001,223.8,195.1
373.501,224.3,195.8
375.001,224.9,196
376.501,225.4,196.6
378.001,226.0,197
379.501,218.2,197.8
381.001,214.4,198.1
382.501,213.0,198.4
384.001,211.5,198.4
385.501,209.3,198.4
387.001,207.9,198.6
388.501,206.4,198
390,205.0,198
391.501,203.6,197.8
393.001,202.9,197.3
394.501,201.5,197
396.001,200.1,196.8
397.501,198.7,196.2
399,198.0,195.8
400.5,196.6,194.8
402,196.0,194.7
403.5,194.6,194.1
405.001,193.9,193.3
406.501,192.6,193
408.001,191.9,192.3
409.5,190.6,191.7
411,189.9,191.1
412.501,189.2,190.3
414.001,188.6,189.3
415.5,187.3,188.9
417.001,186.6,188.4
418.501,186.0,187.8
420.001,184.7,187
421.501,184.0,186.2
423,183.4,185.4
424.5,182.7,184.7
426,181.5,184.3
427.5,180.8,183.6
429.001,180.2,182.8
430.501,179.5,182.1
432.001,178.9,181.1
433.501,177.7,180.4
435,177.0,179.6
436.501,176.4,179.1
438.001,175.8,178.6
439.5,175.2,177.8
441,173.9,176.9
442.501,173.3,176
444.001,172.7,175.2
445.5,172.1,174.6
447.001,171.5,174.1
448.501,170.9,173.2
450,170.3,172.7
451.5,169.1,172
453,168.5,171.3
454.501,167.9,170.7
456.001,167.3,170
457.501,166.7,169.8
459,166.1,168.9
460.501,165.5,168.1
462.001,164.9,167.3
463.5,164.4,166.6
465.001,163.2,166
466.501,162.6,165.6
468.001,162.0,165
469.501,161.4,164.3
471.001,160.9,163.8
472.501,160.3,163.1
474,159.7,162.4
475.501,159.1,161.9
477.001,158.6,161.6
478.501,158.0,161
480.001,157.4,160.2
481.501,156.9,159.9
483.001,156.3,159.1
484.501,155.8,158.7
486.001,155.2,158
487.501,154.6,157.4
489.001,154.1,156.9
490.501,153.5,156
490.501,153.5,156
