now,resistance,temperature,device-temperature
0,1.90882,26.8,26.8
1.5,1.91429,27.5486580748113,26.8
3.001,1.91205,27.2420778028593,27
4.5,1.99778,38.9756165146644,27
6,2.04099,44.8896047070952,27.2
7.5,2.07063,48.9463186627455,29.1
9,2.10149,53.1700093736554,31.6
10.501,2.12963,57.0214240400522,34
12,2.15582,60.6059496304192,36.1
13.501,2.18422,64.4929495069533,37.4
15.001,2.21235,68.3429955114217,40
16.501,2.23951,72.0602813088395,42.6
18.001,2.26571,75.6461755611349,45.1
19.501,2.29239,79.2977655859916,47.8
21.001,2.31779,82.7741668840185,50.4
22.501,2.34296,86.2190889576932,53
24.001,2.36563,89.3218455492786,54.4
25.501,2.38935,92.5683116433415,57
27.001,2.41239,95.7217087262762,59.9
28.501,2.43534,98.8627878518557,62.6
30.001,2.4563,101.731503253692,65.2
31.501,2.47773,104.664545766161,68
33.001,2.49903,107.579795673562,70.8
34.501,2.51854,110.250055095786,72.2
36.001,2.53885,113.02980747228,75
37.501,2.56003,115.92863343654,77.8
39.001,2.58132,118.842514682012,79
40.501,2.60145,121.597631143795,83.1
42.001,2.62249,124.477295841058,85.7
43.501,2.64259,127.228306317056,86.9
45.001,2.66283,129.99847806005,89.7
46.501,2.6825,132.690636073129,92
48.001,2.70314,135.515554293258,93
49.501,2.72383,138.347315823028,95.3
51.001,2.74443,141.166759395444,97.7
52.501,2.76393,143.83565015574,100
54.001,2.7837,146.541494788102,102
55.501,2.80362,149.267869349389,104
57.001,2.82235,151.831373141202,106
58.501,2.84097,154.379821651803,107.1
60.002,2.85991,156.972067344111,109.3
61.501,2.87839,159.501354587715,111.3
63.001,2.89455,161.71311226394,113.4
64.501,2.91224,164.134275215204,115.6
66.001,2.93004,166.570493447679,117.7
67.501,2.94755,168.967020484232,119.9
69.001,2.96364,171.169197526959,121
70.501,2.98035,173.456231609244,122.9
72.001,2.99688,175.718629776818,125.1
73.501,2.91908,165.0704399742,127.2
75.001,2.88793,160.807058067368,129.1
76.501,2.85714,156.592947989956,130.2
78.001,2.84091,154.371609680233,130.8
79.502,2.82885,152.721003394634,131.7
81.001,2.81294,150.543462266618,132.6
82.501,2.80112,148.9257038673,133.2
84,2.7894,147.321632087266,134
85.501,2.77778,145.731246926515,134.6
87.001,2.76625,144.153179723119,135
88.501,2.75482,142.588799139007,135.1
90.002,2.74725,141.552722059241,135.4
91.501,2.73973,140.523488289116,135.8
93.001,2.73224,139.498360504777,136
94.501,2.7248,138.480076030079,136
96.001,2.71739,137.465897541166,136
97.501,2.7137,136.960861289603,136
99.001,2.70636,135.956263434189,136
100.501,2.69906,134.957140226488,135.8
102.001,2.69542,134.458947284566,135.7
103.501,2.68817,133.466667386507,135.4
105.001,2.68456,132.97258043037,135.1
106.501,2.67738,131.98988116581,134.9
108.001,2.6738,131.499900195458,134.6
109.501,2.67023,131.011287887035,134.3
111.001,2.66667,130.524044240539,133.9
112.501,2.66312,130.038169255973,133.8
114.001,2.65604,129.069156610696,133
115.501,2.65604,129.069156610696,132.8
117.001,2.64901,128.106987275061,132.2
118.501,2.6455,127.626586938208,131.8
120.001,2.64201,127.148923925211,131.6
